resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,race_name,race_date,round,circuitId,team_name,driverRef,dob,nationality,status,beat_teammate,age_at_race,is_race_win,is_finished,driver_exp,driver_cumwins,driver_win_rate,driver_cumfinishes,driver_finish_rate,quali_position,best_quali_time,num_pit_stops,total_pit_sec,sprint_position,sprint_points,champ_position,champ_points,champ_wins,team_position,team_points,wins,grid_advantage,age_advantage,quali_advantage,quali_time_advantage,quali_gap_pct,champ_pts_advantage,champ_pos_advantage,wins_advantage,pit_stop_advantage,pit_time_advantage,sprint_advantage,exp_advantage,win_rate_advantage,finish_rate_advantage,teammate_id,h2h_wins,h2h_races,h2h_win_rate,h2h_reliable,h2h_advantage,season_form,season_form_advantage,recent_form_5,circuit_form,recent_form_advantage,circuit_form_advantage
22146,900,828,207,9,19.0,,R,17,0.0,27,,,17,18,1:37.332,196.141,51,2014,Australian Grand Prix,2014-03-16,1,1,Caterham,ericsson,1990-09-02,Swedish,Oil pressure,1,23.534565366187543,0,0,0,0.0,0.0,0.0,1.0,20.0,95.157,1.0,23.238,,,17.0,0.0,0,10.0,0.0,0,-5.0,3.9698836413415464,-5.0,-0.8829999999999956,-0.9279401410300824,0.0,4.0,0,,,,0,0.0,0.0,155,0.0,0.0,0.5,0,0.0,,,,,,
22150,900,155,207,10,14.0,,R,21,0.0,0,,,,0,,,4,2014,Australian Grand Prix,2014-03-16,1,1,Caterham,kobayashi,1986-09-13,Japanese,Collision,0,27.50444900752909,0,0,0,0.0,0.0,1.0,1.0,15.0,94.274,,,,,21.0,0.0,0,10.0,0.0,0,5.0,-3.9698836413415464,5.0,0.8829999999999956,0.9366315208859235,0.0,-4.0,0,,,,0,0.0,0.0,828,0.0,0.0,0.5,0,0.0,,,,,,
22133,900,4,6,14,5.0,4,4,4,12.0,57,+35.284,5613994,57,7,1:33.186,204.867,1,2014,Australian Grand Prix,2014-03-16,1,1,Ferrari,alonso,1981-07-29,Spanish,Finished,1,32.629705681040384,0,1,0,0.0,0.0,1.0,1.0,5.0,91.388,2.0,44.865,,,4.0,12.0,0,3.0,18.0,0,6.0,1.7823408624229984,7.0,1.0509999999999877,1.1500415809515336,-6.0,3.0,0,0.0,2.503,,0,0.0,0.0,8,0.0,0.0,0.5,0,0.0,,,,,,
22136,900,8,6,7,11.0,7,7,7,6.0,57,+57.675,5636385,56,8,1:33.210,204.814,1,2014,Australian Grand Prix,2014-03-16,1,1,Ferrari,raikkonen,1979-10-17,Finnish,Finished,0,34.41204654346338,0,1,0,0.0,0.0,1.0,1.0,12.0,92.439,2.0,47.368,,,7.0,6.0,0,3.0,18.0,0,-6.0,-1.7823408624229984,-7.0,-1.0509999999999877,-1.136965999199459,6.0,-3.0,0,0.0,-2.503,,0,0.0,0.0,4,0.0,0.0,0.5,0,0.0,,,,,,
22135,900,807,10,27,7.0,6,6,6,8.0,57,+50.718,5629428,56,2,1:32.568,206.235,1,2014,Australian Grand Prix,2014-03-16,1,1,Force India,hulkenberg,1987-08-19,German,Finished,1,26.573579739904176,0,1,0,0.0,0.0,1.0,1.0,7.0,93.893,2.0,45.548,,,6.0,8.0,0,5.0,9.0,0,9.0,-2.4394250513347018,9.0,0.24799999999999045,0.2641304463591433,-7.0,4.0,0,1.0,25.01599999999999,,0,0.0,0.0,815,0.0,0.0,0.5,0,0.0,,,,,,
22139,900,815,10,11,16.0,10,10,10,1.0,57,+85.916,5664626,38,4,1:32.634,206.088,1,2014,Australian Grand Prix,2014-03-16,1,1,Force India,perez,1990-01-26,Mexican,Finished,0,24.134154688569474,0,1,0,0.0,0.0,0.0,1.0,16.0,94.14099999999999,3.0,70.564,,,10.0,1.0,0,5.0,9.0,0,-9.0,2.4394250513347018,-9.0,-0.24799999999999045,-0.2634346352811108,7.0,-4.0,0,-1.0,-25.01599999999999,,0,0.0,0.0,807,0.0,0.0,0.5,0,0.0,,,,,,
22144,900,154,208,8,22.0,,R,15,0.0,43,,,41,15,1:35.281,200.363,132,2014,Australian Grand Prix,2014-03-16,1,1,Lotus F1,grosjean,1986-04-17,French,ERS,1,27.912388774811774,0,0,0,0.0,0.0,0.0,1.0,21.0,96.993,2.0,39.519,,,15.0,0.0,0,9.0,0.0,0,-1.0,1.1060917180013696,1.0,,,0.0,1.0,0,-1.0,-16.671999999999997,,0,0.0,0.0,813,0.0,0.0,0.5,0,0.0,,,,,,
22145,900,813,208,13,21.0,,R,16,0.0,29,,,30,14,1:34.766,201.451,132,2014,Australian Grand Prix,2014-03-16,1,1,Lotus F1,maldonado,1985-03-09,Venezuelan,ERS,0,29.018480492813143,0,0,0,0.0,0.0,0.0,1.0,22.0,,1.0,22.847,,,16.0,0.0,0,9.0,0.0,0,1.0,-1.1060917180013696,-1.0,,,0.0,-1.0,0,1.0,16.671999999999997,,0,0.0,0.0,154,0.0,0.0,0.5,0,0.0,,,,,,
22142,900,820,206,4,17.0,13,13,13,0.0,55,,,33,12,1:34.202,202.658,12,2014,Australian Grand Prix,2014-03-16,1,1,Marussia,chilton,1991-04-21,British,+2 Laps,1,22.902121834360027,0,0,0,0.0,0.0,0.0,1.0,17.0,94.293,2.0,47.702,,,13.0,0.0,0,8.0,0.0,0,1.0,1.713894592744694,1.0,0.5009999999999906,0.5313225796188376,0.0,1.0,0,0.0,-1.2250000000000014,,0,0.0,0.0,824,0.0,0.0,0.5,0,0.0,,,,,,
22143,900,824,206,17,18.0,,N,14,0.0,49,,,55,16,1:35.635,199.621,18,2014,Australian Grand Prix,2014-03-16,1,1,Marussia,jules_bianchi,1989-08-03,French,+8 Laps,0,24.61601642710472,0,0,0,0.0,0.0,0.0,1.0,18.0,94.794,2.0,46.477,,,14.0,0.0,0,8.0,0.0,0,-1.0,-1.713894592744694,-1.0,-0.5009999999999906,-0.5285144629406825,0.0,-1.0,0,0.0,1.2250000000000014,,0,0.0,0.0,820,0.0,0.0,0.5,0,0.0,,,,,,
